eventid,iyear,imonth,iday,country,country_txt,region,region_txt,provstate,city,latitude,longitude,doubtterr,multiple,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,weaptype1,weaptype1_txt,nkill,nwound,gname,month
197000000001,1970,7,2,58,Dominican Republic,2,Central America & Caribbean,National,Santo Domingo,18.456792,-69.951164,0,0.0,1,0,1,Assassination,14,Private Citizens & Property,13,Unknown,1.0,0.0,MANO-D,1970-07-01
197001000001,1970,1,0,160,Philippines,5,Southeast Asia,Tarlac,Unknown,15.478598,120.599741,0,0.0,1,0,1,Assassination,10,Journalists & Media,13,Unknown,1.0,0.0,Unknown,1970-01-01
197001000002,1970,1,0,78,Greece,8,Western Europe,Attica,Athens,37.99749,23.762728,0,0.0,1,0,3,Bombing/Explosion,7,Government (Diplomatic),6,Explosives,,,Unknown,1970-01-01
197001000003,1970,1,0,101,Japan,4,East Asia,Fukouka,Fukouka,33.580412,130.396361,-9,0.0,1,0,7,Facility/Infrastructure Attack,7,Government (Diplomatic),8,Incendiary,,,Unknown,1970-01-01
197001010002,1970,1,1,217,United States,1,North America,Illinois,Cairo,37.005105,-89.176269,0,0.0,1,0,2,Armed Assault,3,Police,5,Firearms,0.0,0.0,Black Nationalists,1970-01-01
197001020001,1970,1,2,218,Uruguay,3,South America,Montevideo,Montevideo,-34.891151,-56.187214,0,0.0,0,0,1,Assassination,3,Police,5,Firearms,0.0,0.0,Tupamaros (Uruguay),1970-01-01
197001020002,1970,1,2,217,United States,1,North America,California,Oakland,37.791927,-122.225906,1,0.0,1,0,3,Bombing/Explosion,21,Utilities,6,Explosives,0.0,0.0,Unknown,1970-01-01
197001020003,1970,1,2,217,United States,1,North America,Wisconsin,Madison,43.076592,-89.412488,0,0.0,1,0,7,Facility/Infrastructure Attack,4,Military,8,Incendiary,0.0,0.0,New Year's Gang,1970-01-01
197001030001,1970,1,3,217,United States,1,North America,Wisconsin,Madison,43.07295,-89.386694,0,0.0,1,0,7,Facility/Infrastructure Attack,2,Government (General),8,Incendiary,0.0,0.0,New Year's Gang,1970-01-01
197001050001,1970,1,1,217,United States,1,North America,Wisconsin,Baraboo,43.4685,-89.744299,1,0.0,0,0,3,Bombing/Explosion,4,Military,6,Explosives,0.0,0.0,"Weather Underground, Weathermen",1970-01-01
197001060001,1970,1,6,217,United States,1,North America,Colorado,Denver,39.758968,-104.876305,1,0.0,1,0,7,Facility/Infrastructure Attack,4,Military,8,Incendiary,0.0,0.0,Left-Wing Militants,1970-01-01
197001080001,1970,1,8,98,Italy,8,Western Europe,Lazio,Rome,41.890961,12.490069,-9,0.0,1,0,4,Hijacking,6,Airports & Aircraft,5,Firearms,0.0,0.0,Unknown,1970-01-01
197001090001,1970,1,9,217,United States,1,North America,Michigan,Detroit,42.331685,-83.047924,0,0.0,1,0,7,Facility/Infrastructure Attack,2,Government (General),8,Incendiary,0.0,0.0,Left-Wing Militants,1970-01-01
197001090002,1970,1,9,217,United States,1,North America,Puerto Rico,Rio Piedras,18.386932,-66.061127,1,0.0,1,0,7,Facility/Infrastructure Attack,1,Business,8,Incendiary,0.0,0.0,Armed Commandos of Liberation,1970-01-01
197001100001,1970,1,10,499,East Germany (GDR),9,Eastern Europe,Berlin,Berlin,52.50153,13.401851,0,0.0,1,0,3,Bombing/Explosion,2,Government (General),6,Explosives,,,Commune 1,1970-01-01
197001110001,1970,1,11,65,Ethiopia,11,Sub-Saharan Africa,Unknown,Unknown,,,1,0.0,1,0,9,Unknown,4,Military,13,Unknown,1.0,0.0,Eritrean Liberation Front,1970-01-01
197001120001,1970,1,12,217,United States,1,North America,New York,New York City,40.697132,-73.931351,0,0.0,1,0,3,Bombing/Explosion,8,Educational Institution,6,Explosives,0.0,0.0,Black Nationalists,1970-01-01
197001120002,1970,1,12,217,United States,1,North America,Puerto Rico,Rio Grande,18.379998,-65.830948,0,0.0,1,0,3,Bombing/Explosion,1,Business,6,Explosives,0.0,0.0,Strikers,1970-01-01
197001130001,1970,1,13,217,United States,1,North America,Washington,Seattle,47.610786,-122.331306,0,0.0,1,0,7,Facility/Infrastructure Attack,1,Business,8,Incendiary,0.0,0.0,Black Nationalists,1970-01-01
197001140001,1970,1,14,217,United States,1,North America,Illinois,Champaign,40.116748,-88.23927,0,0.0,1,0,7,Facility/Infrastructure Attack,3,Police,8,Incendiary,0.0,1.0,Black Nationalists,1970-01-01
197001150001,1970,1,15,218,Uruguay,3,South America,Montevideo,Montevideo,-34.891151,-56.187214,0,0.0,1,0,2,Armed Assault,8,Educational Institution,5,Firearms,0.0,0.0,Tupamaros (Uruguay),1970-01-01
197001190002,1970,1,19,217,United States,1,North America,Washington,Seattle,47.610786,-122.331306,0,0.0,1,0,3,Bombing/Explosion,8,Educational Institution,6,Explosives,0.0,0.0,Black Nationalists,1970-01-01
197001190003,1970,1,19,217,United States,1,North America,Washington,Seattle,47.610786,-122.331306,0,0.0,0,0,3,Bombing/Explosion,4,Military,6,Explosives,0.0,0.0,Student Radicals,1970-01-01
197001190004,1970,1,19,217,United States,1,North America,New Jersey,Jersey City,40.717892,-74.067467,0,0.0,1,0,7,Facility/Infrastructure Attack,22,Violent Political Party,8,Incendiary,0.0,0.0,White supremacists/nationalists,1970-01-01
197001200001,1970,1,20,83,Guatemala,2,Central America & Caribbean,Guatemala,Guatemala City,14.622869,-90.529068,0,0.0,1,0,1,Assassination,7,Government (Diplomatic),13,Unknown,1.0,0.0,Unknown,1970-01-01
197001210001,1970,1,21,160,Philippines,5,Southeast Asia,Metropolitan Manila,Quezon City,14.67428,121.057495,0,0.0,1,0,3,Bombing/Explosion,7,Government (Diplomatic),6,Explosives,0.0,0.0,Unknown,1970-01-01
197001220001,1970,1,22,222,Venezuela,3,South America,Caracas,Caracas,10.482834,-66.962128,0,0.0,1,0,6,Hostage Taking (Kidnapping),1,Business,13,Unknown,0.0,0.0,Armed Forces of National Liberation- Venezuela (FALN),1970-01-01
197001220002,1970,1,22,217,United States,1,North America,Nebraska,South Sioux City,42.47031,-96.413949,0,0.0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,0.0,0.0,Strikers,1970-01-01
197001250001,1970,1,25,217,United States,1,North America,Mississippi,West Point,33.60651,-88.650419,1,0.0,1,0,7,Facility/Infrastructure Attack,14,Private Citizens & Property,8,Incendiary,0.0,0.0,White supremacists/nationalists,1970-01-01
197001250002,1970,1,25,217,United States,1,North America,New York,New York City,40.697132,-73.931351,0,0.0,1,0,2,Armed Assault,3,Police,5,Firearms,0.0,2.0,Black Nationalists,1970-01-01
197001260001,1970,1,26,217,United States,1,North America,Mississippi,West Point,33.60651,-88.650419,0,0.0,1,0,3,Bombing/Explosion,2,Government (General),6,Explosives,0.0,0.0,Black Nationalists,1970-01-01
197001260003,1970,1,26,217,United States,1,North America,New York,New York City,40.697132,-73.931351,0,0.0,1,0,2,Armed Assault,3,Police,5,Firearms,0.0,0.0,Black Nationalists,1970-01-01
197001270002,1970,1,27,217,United States,1,North America,Ohio,Norwalk,41.241996,-82.615241,0,0.0,1,0,7,Facility/Infrastructure Attack,2,Government (General),8,Incendiary,0.0,0.0,Left-Wing Militants,1970-01-01
197001280001,1970,1,28,499,East Germany (GDR),9,Eastern Europe,Berlin,Berlin,52.50153,13.401851,-9,0.0,1,0,7,Facility/Infrastructure Attack,3,Police,8,Incendiary,,,Unknown,1970-01-01
197001280002,1970,1,28,217,United States,1,North America,Washington,Seattle,47.610786,-122.331306,1,0.0,1,0,3,Bombing/Explosion,15,Religious Figures/Institutions,6,Explosives,0.0,0.0,White supremacists/nationalists,1970-01-01
197001300001,1970,1,30,217,United States,1,North America,Nebraska,South Sioux City,42.479999,-96.413046,0,1.0,1,0,3,Bombing/Explosion,20,Unknown,6,Explosives,0.0,0.0,Strikers,1970-01-01
197001300002,1970,1,30,217,United States,1,North America,Nebraska,South Sioux City,42.46634,-96.41405,0,1.0,1,0,3,Bombing/Explosion,1,Business,6,Explosives,0.0,0.0,Strikers,1970-01-01
