iso3,period,ons_target,preds_ons,country_txt,region_txt,predicted_positive
KAZ,201912,1.0,0.0780172370259691,Kazakhstan,Central Asia,0
CYP,201912,1.0,0.0807593889673504,Cyprus,Western Europe,0
HUN,201909,1.0,0.0837087532902755,Hungary,Eastern Europe,0
HUN,201907,1.0,0.0838112555239574,Hungary,Eastern Europe,0
KAZ,202001,1.0,0.0843528224944731,Kazakhstan,Central Asia,0
HRV,202009,1.0,0.0851731040078357,Croatia,Eastern Europe,0
HRV,202007,1.0,0.0852639185811358,Croatia,Eastern Europe,0
BGR,202006,1.0,0.0860481210332696,Bulgaria,Eastern Europe,0
ERI,202008,1.0,0.0862870098751997,Eritrea,Sub-Saharan Africa,0
HUN,201908,1.0,0.0864672028659262,Hungary,Eastern Europe,0
CYP,202001,1.0,0.0873821533536073,Cyprus,Western Europe,0
HRV,202008,1.0,0.0878104990279227,Croatia,Eastern Europe,0
KAZ,202002,1.0,0.088959177746896,Kazakhstan,Central Asia,0
BGR,202004,1.0,0.0894420779036985,Bulgaria,Eastern Europe,0
NZL,201901,1.0,0.0895148844985094,New Zealand,Australasia & Oceania,0
BGR,202005,1.0,0.0897758545746327,Bulgaria,Eastern Europe,0
PRT,202003,1.0,0.0901003948938081,Portugal,Western Europe,0
CYP,202002,1.0,0.0908710025146019,Cyprus,Western Europe,0
ERI,202009,1.0,0.091193049565826,Eritrea,Sub-Saharan Africa,0
ALB,202009,1.0,0.0920074919942135,Albania,Eastern Europe,0
AGO,201907,1.0,0.0928281656395903,Angola,Sub-Saharan Africa,0
GEO,202008,1.0,0.0929420988060789,Georgia,Central Asia,0
NZL,201902,1.0,0.0931106517744238,New Zealand,Australasia & Oceania,0
POL,202003,1.0,0.0943838111904102,Poland,Eastern Europe,0
KOR,201904,1.0,0.0950768559782423,South Korea,East Asia,0
AGO,201908,1.0,0.095456629972726,Angola,Sub-Saharan Africa,0
KOR,201905,1.0,0.0958943872595147,South Korea,East Asia,0
PRT,202001,1.0,0.0959168059330905,Portugal,Western Europe,0
ALB,202008,1.0,0.0959249855316303,Albania,Eastern Europe,0
AGO,201909,1.0,0.0961105958590647,Angola,Sub-Saharan Africa,0
ALB,202007,1.0,0.0961873194465934,Albania,Eastern Europe,0
BOL,201907,1.0,0.0973914162499018,Bolivia,South America,0
GEO,202009,1.0,0.0974350187175425,Georgia,Central Asia,0
PRT,202002,1.0,0.0974777292848868,Portugal,Western Europe,0
POL,202004,1.0,0.0987567968325325,Poland,Eastern Europe,0
BLR,202007,1.0,0.10030975062552,Belarus,Eastern Europe,0
POL,202002,1.0,0.1006062929925692,Poland,Eastern Europe,0
BLR,202008,1.0,0.1009939823437045,Belarus,Eastern Europe,0
CRI,201903,1.0,0.1024369703221219,Costa Rica,Central America & Caribbean,0
BOL,201908,1.0,0.1028507297807554,Bolivia,South America,0
DNK,201907,1.0,0.1038181749381094,Denmark,Western Europe,0
KOR,201903,1.0,0.1048049139432845,South Korea,East Asia,0
BOL,201909,1.0,0.104881380358428,Bolivia,South America,0
CIV,202009,1.0,0.105937347073749,Ivory Coast,Sub-Saharan Africa,0
