iso3,period,ons_target,preds_ons,country_txt,region_txt,predicted_positive
CAF,201906,0.0,0.8050797858614115,Central African Republic,Sub-Saharan Africa,1
ZAF,201911,0.0,0.7848598702903969,South Africa,Sub-Saharan Africa,1
SSD,201904,0.0,0.7722987858419939,South Sudan,Sub-Saharan Africa,1
CAF,201907,0.0,0.7714787840411585,Central African Republic,Sub-Saharan Africa,1
CAF,201908,0.0,0.7505604494132767,Central African Republic,Sub-Saharan Africa,1
LKA,201912,0.0,0.7451517633999307,Sri Lanka,South Asia,1
BDI,201902,0.0,0.7431252798432755,Burundi,Sub-Saharan Africa,1
LKA,201906,0.0,0.7426818580967531,Sri Lanka,South Asia,1
ITA,202005,0.0,0.740664720790431,Italy,Western Europe,1
TCD,202002,0.0,0.7372660405374504,Chad,Sub-Saharan Africa,1
IRN,201905,0.0,0.7316211863966735,Iran,Middle East & North Africa,1
TUN,202004,0.0,0.7251830986965905,Tunisia,Middle East & North Africa,1
TUN,201911,0.0,0.7222326912155093,Tunisia,Middle East & North Africa,1
ZAF,202001,0.0,0.7179494755969763,South Africa,Sub-Saharan Africa,1
BDI,201904,0.0,0.7130662866735276,Burundi,Sub-Saharan Africa,1
ZAF,201912,0.0,0.7128133535988637,South Africa,Sub-Saharan Africa,1
BDI,201903,0.0,0.712415059821414,Burundi,Sub-Saharan Africa,1
IRL,202005,0.0,0.7092717151063315,Ireland,Western Europe,1
LKA,201907,0.0,0.7049028621500313,Sri Lanka,South Asia,1
LKA,202001,0.0,0.6987761157307857,Sri Lanka,South Asia,1
ITA,202006,0.0,0.6943233319332504,Italy,Western Europe,1
IRN,201907,0.0,0.6929043431849433,Iran,Middle East & North Africa,1
IRN,201906,0.0,0.6906942957443398,Iran,Middle East & North Africa,1
TCD,202003,0.0,0.6815475823048558,Chad,Sub-Saharan Africa,1
ITA,201908,0.0,0.6793175539973256,Italy,Western Europe,1
LBN,201907,0.0,0.6766401469644505,Lebanon,Middle East & North Africa,1
BRA,201901,0.0,0.66972807179997,Brazil,South America,1
CHN,202008,0.0,0.6679358741738122,China,East Asia,1
BRA,201902,0.0,0.6649809123278311,Brazil,South America,1
NZL,202007,0.0,0.6640089768142985,New Zealand,Australasia & Oceania,1
VEN,201909,0.0,0.6509324336016146,Venezuela,South America,1
ITA,201909,0.0,0.6488610416403899,Italy,Western Europe,1
LKA,202002,0.0,0.646414861565852,Sri Lanka,South Asia,1
BRA,201903,0.0,0.6447982149854949,Brazil,South America,1
SWE,201902,0.0,0.6437330787788218,Sweden,Western Europe,1
UGA,201909,0.0,0.6412564540313427,Uganda,Sub-Saharan Africa,1
JOR,201903,0.0,0.640712698961162,Jordan,Middle East & North Africa,1
TUN,202006,0.0,0.6402545935680836,Tunisia,Middle East & North Africa,1
TUN,202005,0.0,0.6397970243878491,Tunisia,Middle East & North Africa,1
TCD,202008,0.0,0.6388009790032565,Chad,Sub-Saharan Africa,1
UGA,201911,0.0,0.6358235786901574,Uganda,Sub-Saharan Africa,1
UGA,202009,0.0,0.634556308620263,Uganda,Sub-Saharan Africa,1
PRY,201901,0.0,0.6332746113940679,Paraguay,South America,1
VEN,202006,0.0,0.6288238555352237,Venezuela,South America,1
TCD,202009,0.0,0.6281403234746012,Chad,Sub-Saharan Africa,1
ITA,201910,0.0,0.6279137886043817,Italy,Western Europe,1
NZL,202008,0.0,0.6269996342539307,New Zealand,Australasia & Oceania,1
SWE,201903,0.0,0.6204261997845884,Sweden,Western Europe,1
VEN,202007,0.0,0.6175145910175498,Venezuela,South America,1
MYS,201901,0.0,0.615461272787704,Malaysia,Southeast Asia,1
LKA,202009,0.0,0.6152281200875587,Sri Lanka,South Asia,1
UGA,201910,0.0,0.6140284684129274,Uganda,Sub-Saharan Africa,1
BOL,202007,0.0,0.6137591534757335,Bolivia,South America,1
JOR,201904,0.0,0.6122861600183026,Jordan,Middle East & North Africa,1
JOR,201912,0.0,0.612090790219903,Jordan,Middle East & North Africa,1
PRY,201902,0.0,0.6035070983418552,Paraguay,South America,1
SWE,202008,0.0,0.6011682570579868,Sweden,Western Europe,1
VEN,202008,0.0,0.5999563115224538,Venezuela,South America,1
PRY,201903,0.0,0.5972477047797635,Paraguay,South America,1
JOR,202001,0.0,0.5962235780160265,Jordan,Middle East & North Africa,1
NIC,202008,0.0,0.5960183184945393,Nicaragua,Central America & Caribbean,1
NZL,202009,0.0,0.595387736870357,New Zealand,Australasia & Oceania,1
MYS,201902,0.0,0.5941161852418118,Malaysia,Southeast Asia,1
BOL,202008,0.0,0.5929800671482581,Bolivia,South America,1
NIC,202003,0.0,0.5904020280709468,Nicaragua,Central America & Caribbean,1
NLD,201907,0.0,0.5894647623709414,Netherlands,Western Europe,1
SWE,202009,0.0,0.5862126047938159,Sweden,Western Europe,1
CAF,201909,0.0,0.58526654002044,Central African Republic,Sub-Saharan Africa,1
ECU,202009,0.0,0.5792474513233827,Ecuador,South America,1
SWE,201904,0.0,0.577366837617229,Sweden,Western Europe,1
JOR,202002,0.0,0.5772351195474088,Jordan,Middle East & North Africa,1
ECU,201906,0.0,0.5756792666580783,Ecuador,South America,1
NIC,202009,0.0,0.5718748284989642,Nicaragua,Central America & Caribbean,1
BDI,201905,0.0,0.5681045232271021,Burundi,Sub-Saharan Africa,1
IRN,201908,0.0,0.5672633150183338,Iran,Middle East & North Africa,1
CYP,202008,0.0,0.5472109407607799,Cyprus,Western Europe,1
LKA,202003,0.0,0.5426181953768376,Sri Lanka,South Asia,1
IRN,201909,0.0,0.5420000933855339,Iran,Middle East & North Africa,1
BRA,201904,0.0,0.5401887532670888,Brazil,South America,1
CAF,201910,0.0,0.5400700544598684,Central African Republic,Sub-Saharan Africa,1
ITA,201911,0.0,0.5370603000759977,Italy,Western Europe,1
SWE,202003,0.0,0.534354221256343,Sweden,Western Europe,1
AUS,201907,0.0,0.5308621383652167,Australia,Australasia & Oceania,1
