feature,importance,std,group
n_attacks_strict_rm12,0.24466089341688077,0.0051830004594446265,Attack history (rolling mean)
n_attacks_strict_rm36,0.2162869104766969,0.006161621937911973,Attack history (rolling mean)
n_attacks_strict_rm3,0.19631525545352238,0.004865809436680381,Attack history (rolling mean)
n_attacks_strict_ongoing_0,0.10133110326139018,0.0034676346807170026,Attack history (ongoing)
n_attacks_strict_rm1,0.08562752262646887,0.003030927084139674,Attack history (rolling mean)
n_attacks_strict_since_0,0.08378898690322138,0.00432625128759282,Attack history (since)
ongoing_conflict,0.022187467427633365,0.001719692153990207,Attack history (ongoing)
stock_topic_2,0.02183637718968311,0.001201109462439324,Text (LDA topics)
stock_topic_10,0.005225740036902048,0.0006019157233524021,Text (LDA topics)
stock_topic_8,0.004595449133102278,0.0005727393259083278,Text (LDA topics)
stock_topic_0,0.00398861606506379,0.0002635534921889045,Text (LDA topics)
stock_topic_9,0.0032180242625872817,0.0002631319353682744,Text (LDA topics)
stock_topic_11,0.0023070550996735543,0.00034596503801863,Text (LDA topics)
stock_topic_5,0.001498873473041975,0.00023461309033836545,Text (LDA topics)
stock_topic_13,0.0014597000189569293,0.00011665103759741575,Text (LDA topics)
inflation_cpi,0.0009454065949381819,0.0002106504631138769,Macro (World Bank)
unemployment_rate,0.0007979947045053874,0.00018808137418648295,Macro (World Bank)
stock_topic_6,0.0006164128486273391,0.00013379364546918496,Text (LDA topics)
govt_expenditure_gdp,0.0005104357091464047,0.00015351326582555675,Macro (World Bank)
stock_topic_12,0.00046694986884802925,0.0001440010764361896,Text (LDA topics)
democracy_index,0.0004650804360217578,0.00011590148650006495,Political (V-Dem)
stock_topic_7,0.000460997492892182,8.218221805530686e-05,Text (LDA topics)
stock_topic_14,0.0004208994190885119,8.497721988299224e-05,Text (LDA topics)
stock_topic_4,0.0004062491324698778,9.355424793399502e-05,Text (LDA topics)
stock_topic_1,0.000318526845085986,8.554069063851237e-05,Text (LDA topics)
gdp_pc_growth,0.00015985701125318313,6.0034045154657663e-05,Macro (World Bank)
stock_topic_3,0.00010321509229842989,4.664874237726018e-05,Text (LDA topics)
