feature,importance,std,group
n_attacks_strict_rm36,0.28969551957463197,0.009047547273120186,Attack history (rolling mean)
n_attacks_strict_rm12,0.2860407173434273,0.006453069752571908,Attack history (rolling mean)
n_attacks_strict_rm3,0.15221274542790023,0.006551949368673693,Attack history (rolling mean)
n_attacks_strict_since_0,0.09253229142916386,0.005228356020142341,Attack history (since)
n_attacks_strict_rm1,0.05979369997035036,0.003519198041392705,Attack history (rolling mean)
ongoing_conflict,0.026732434657837742,0.0018454913709486235,Attack history (ongoing)
stock_topic_2,0.01941907161424884,0.0013225881162417027,Text (LDA topics)
stock_topic_9,0.014509654987312805,0.000844156533610383,Text (LDA topics)
stock_topic_11,0.009144086356882374,0.000860879736004999,Text (LDA topics)
stock_topic_6,0.007764499187765524,0.0009785534494110184,Text (LDA topics)
stock_topic_0,0.00553954329742493,0.0007617779694289858,Text (LDA topics)
stock_topic_8,0.004820907991710762,0.000629674603240252,Text (LDA topics)
stock_topic_13,0.0046130564686374985,0.0007809557146384898,Text (LDA topics)
gdp_pc_growth,0.0034021180509852095,0.0004964331152043592,Macro (World Bank)
stock_topic_14,0.0032001760515285253,0.0006199751042812185,Text (LDA topics)
inflation_cpi,0.0030248227085835737,0.0008533945585984531,Macro (World Bank)
stock_topic_5,0.0027796827628636714,0.000703138425357286,Text (LDA topics)
unemployment_rate,0.002093990961927194,0.0003025185901600286,Macro (World Bank)
stock_topic_10,0.00195138293241629,0.0004959757770791451,Text (LDA topics)
stock_topic_3,0.0019096365248893689,0.00046381580496813345,Text (LDA topics)
democracy_index,0.0018600950622351682,0.00029985689086008913,Political (V-Dem)
stock_topic_7,0.0018401039419197317,0.000481790885882192,Text (LDA topics)
govt_expenditure_gdp,0.0018121785570535257,0.0004780619814636637,Macro (World Bank)
stock_topic_1,0.0013836699040171323,0.00028939788846506735,Text (LDA topics)
stock_topic_4,0.0010060890049127648,0.00031822415485971645,Text (LDA topics)
stock_topic_12,0.0009178252293736631,0.0002581883785040667,Text (LDA topics)
n_attacks_strict_ongoing_0,0.0,0.0,Attack history (ongoing)
