region,region_txt,valid_rows,positive_rows,negative_rows,positive_rate,outcome
1,North America,753,320,433,0.4249667994687915,incidence_next_month_t
2,Central America & Caribbean,5271,73,5198,0.01384936444697401,incidence_next_month_t
3,South America,3514,553,2961,0.15737051792828685,incidence_next_month_t
4,East Asia,1757,110,1647,0.06260671599317018,incidence_next_month_t
5,Southeast Asia,2761,818,1943,0.29626946758420863,incidence_next_month_t
6,South Asia,2259,1247,1012,0.5520141655599823,incidence_next_month_t
7,Central Asia,2008,147,1861,0.07320717131474104,incidence_next_month_t
8,Western Europe,5773,1071,4702,0.18551879438766672,incidence_next_month_t
9,Eastern Europe,6526,555,5971,0.08504443763407907,incidence_next_month_t
10,Middle East & North Africa,5773,2048,3725,0.3547548934695999,incidence_next_month_t
11,Sub-Saharan Africa,12299,2070,10229,0.16830636637124968,incidence_next_month_t
12,Australasia & Oceania,2510,68,2442,0.027091633466135457,incidence_next_month_t
1,North America,433,117,316,0.2702078521939954,onset_next_month_t
2,Central America & Caribbean,5198,62,5136,0.0119276644863409,onset_next_month_t
3,South America,2962,214,2748,0.07224848075624578,onset_next_month_t
4,East Asia,1647,65,1582,0.03946569520340012,onset_next_month_t
5,Southeast Asia,1943,151,1792,0.07771487390633042,onset_next_month_t
6,South Asia,1011,144,867,0.142433234421365,onset_next_month_t
7,Central Asia,1861,115,1746,0.06179473401397098,onset_next_month_t
8,Western Europe,4700,410,4290,0.08723404255319149,onset_next_month_t
9,Eastern Europe,5967,232,5735,0.038880509468744766,onset_next_month_t
10,Middle East & North Africa,3728,392,3336,0.10515021459227468,onset_next_month_t
11,Sub-Saharan Africa,10232,640,9592,0.06254886630179828,onset_next_month_t
12,Australasia & Oceania,2443,45,2398,0.018419975440032748,onset_next_month_t
1,North America,430,230,200,0.5348837209302325,onset_next_3months_t
2,Central America & Caribbean,5157,167,4990,0.03238316850882296,onset_next_3months_t
3,South America,2941,525,2416,0.17851071064263857,onset_next_3months_t
4,East Asia,1633,170,1463,0.1041028781383956,onset_next_3months_t
5,Southeast Asia,1929,302,1627,0.1565578019699326,onset_next_3months_t
6,South Asia,1001,264,737,0.26373626373626374,onset_next_3months_t
7,Central Asia,1846,292,1554,0.1581798483206934,onset_next_3months_t
8,Western Europe,4664,879,3785,0.1884648370497427,onset_next_3months_t
9,Eastern Europe,5922,577,5345,0.09743329956095914,onset_next_3months_t
10,Middle East & North Africa,3700,778,2922,0.21027027027027026,onset_next_3months_t
11,Sub-Saharan Africa,10161,1406,8755,0.13837220745989567,onset_next_3months_t
12,Australasia & Oceania,2423,111,2312,0.045810978126289724,onset_next_3months_t
2,Central America & Caribbean,2834,39,2795,0.013761467889908258,hard_onset_next_3months_t
3,South America,758,18,740,0.023746701846965697,hard_onset_next_3months_t
4,East Asia,600,17,583,0.028333333333333332,hard_onset_next_3months_t
5,Southeast Asia,703,14,689,0.01991465149359886,hard_onset_next_3months_t
6,South Asia,261,6,255,0.022988505747126436,hard_onset_next_3months_t
7,Central Asia,207,12,195,0.057971014492753624,hard_onset_next_3months_t
8,Western Europe,1251,30,1221,0.023980815347721823,hard_onset_next_3months_t
9,Eastern Europe,1989,57,1932,0.02865761689291101,hard_onset_next_3months_t
10,Middle East & North Africa,816,22,794,0.02696078431372549,hard_onset_next_3months_t
11,Sub-Saharan Africa,3541,80,3461,0.022592487997740753,hard_onset_next_3months_t
12,Australasia & Oceania,1301,13,1288,0.009992313604919293,hard_onset_next_3months_t
