month,n_attacks_strict,n_attacks_all,active_countries,onset_next_3months,hard_onset_next_3months,fatalities_all,injuries_all
2000-01-01,150,184,39,16,0,344,489
2000-02-01,92,112,31,27,0,318,289
2000-03-01,75,100,28,27,0,487,315
2000-04-01,83,104,21,37,0,106,193
2000-05-01,104,130,35,25,0,244,764
2000-06-01,125,167,31,30,0,287,202
2000-07-01,135,156,36,22,0,396,494
2000-08-01,104,124,32,37,0,240,574
2000-09-01,165,225,34,34,0,642,555
2000-10-01,135,173,32,37,0,421,646
2000-11-01,142,181,46,28,0,398,613
2000-12-01,151,167,33,32,0,511,663
2001-01-01,146,164,41,24,0,535,394
2001-02-01,121,136,37,24,0,273,302
2001-03-01,127,166,33,25,0,354,451
2001-04-01,103,117,35,18,0,469,752
2001-05-01,85,98,30,32,0,297,480
2001-06-01,75,80,27,31,0,227,565
2001-07-01,68,78,25,34,0,244,260
2001-08-01,552,568,48,11,0,990,1242
2001-09-01,110,144,33,16,0,3390,22447
2001-10-01,90,95,22,23,0,237,339
2001-11-01,115,141,25,20,0,393,459
2001-12-01,97,125,23,23,0,320,496
2002-01-01,120,148,25,25,0,305,371
2002-02-01,125,138,25,28,0,323,197
2002-03-01,76,80,24,30,0,264,924
2002-04-01,98,107,29,24,0,606,689
2002-05-01,143,189,35,20,0,1099,781
2002-06-01,94,103,26,18,0,274,513
2002-07-01,86,94,20,24,0,282,473
2002-08-01,119,139,30,16,0,367,665
2002-09-01,62,73,19,19,0,209,487
2002-10-01,90,94,22,30,0,634,741
2002-11-01,96,106,25,28,0,239,453
2002-12-01,41,59,19,35,0,195,787
2003-01-01,173,195,34,24,0,379,504
2003-02-01,104,114,29,22,0,274,384
2003-03-01,171,195,31,15,0,240,642
2003-04-01,65,83,24,17,0,282,261
2003-05-01,114,156,26,11,0,431,831
2003-06-01,57,62,17,17,0,252,317
2003-07-01,96,117,26,9,0,337,499
2003-08-01,38,38,16,20,0,314,898
2003-09-01,60,74,18,23,0,215,515
2003-10-01,58,59,18,24,0,143,600
2003-11-01,85,107,26,17,0,298,1276
2003-12-01,71,80,25,18,0,152,657
2004-01-01,64,79,19,21,0,285,687
2004-02-01,32,44,16,21,0,536,961
2004-03-01,70,82,21,17,0,1142,2837
2004-04-01,85,98,23,10,0,317,775
2004-05-01,80,91,20,11,0,280,751
2004-06-01,139,156,24,8,0,696,987
2004-07-01,88,114,17,14,0,301,588
2004-08-01,106,120,19,13,0,321,690
2004-09-01,86,105,21,12,0,659,1521
2004-10-01,99,119,19,17,0,560,929
2004-11-01,62,73,17,17,0,206,417
2004-12-01,69,83,18,18,1,413,833
2005-01-01,121,177,27,8,1,436,620
2005-02-01,56,71,19,20,1,435,921
2005-03-01,176,197,23,22,0,373,509
2005-04-01,155,209,21,27,1,341,542
2005-05-01,192,231,34,16,1,954,2539
2005-06-01,109,144,29,18,1,450,1039
2005-07-01,234,274,29,14,1,1076,2415
2005-08-01,209,260,25,13,1,431,836
2005-09-01,94,120,22,18,1,633,1173
2005-10-01,116,145,23,20,1,544,975
2005-11-01,62,74,13,29,1,447,921
2005-12-01,110,115,27,14,1,223,471
2006-01-01,256,282,34,14,1,552,563
2006-02-01,400,434,23,21,1,785,1425
2006-03-01,100,120,20,24,1,545,955
2006-04-01,311,405,35,14,0,834,1180
2006-05-01,171,215,23,17,1,754,848
2006-06-01,97,119,19,24,1,416,593
2006-07-01,228,271,29,15,1,1030,2350
2006-08-01,207,242,21,16,0,965,1887
2006-09-01,147,157,24,13,1,532,931
2006-10-01,167,186,21,15,1,935,1486
2006-11-01,137,163,19,20,1,1004,1549
2006-12-01,154,163,23,21,2,964,1703
2007-01-01,153,181,24,23,3,736,1238
2007-02-01,212,235,24,22,3,1117,2282
2007-03-01,163,228,27,20,3,1661,2691
2007-04-01,194,218,31,13,3,1270,2275
2007-05-01,150,171,21,23,6,745,1261
2007-06-01,553,588,34,12,5,1207,2028
2007-07-01,185,224,21,19,4,1331,2437
2007-08-01,184,201,32,21,4,1238,2644
2007-09-01,132,165,23,27,3,623,978
2007-10-01,310,332,21,32,4,858,1859
2007-11-01,459,534,40,20,3,1265,1612
2007-12-01,149,173,22,32,3,774,1226
2008-01-01,260,327,33,30,4,912,1319
2008-02-01,135,155,35,32,3,888,2299
2008-03-01,250,321,29,36,7,716,1525
2008-04-01,473,507,41,24,6,708,1790
2008-05-01,473,500,41,23,6,999,1712
2008-06-01,470,510,40,17,4,736,1379
2008-07-01,503,554,35,20,2,805,2213
2008-08-01,406,461,37,17,1,847,1543
2008-09-01,249,269,28,30,3,417,1264
2008-10-01,304,326,35,23,2,620,1195
2008-11-01,399,430,29,36,4,702,1602
2008-12-01,421,441,38,28,2,894,1327
2009-01-01,395,403,35,25,2,862,795
2009-02-01,333,339,39,17,0,548,1250
2009-03-01,394,412,35,17,0,566,1149
