country,country_txt,n_rows,n_unique_months,first_month,last_month,expected_months,is_balanced
4,Afghanistan,252,252,2000-01-01,2020-12-01,252,True
5,Albania,252,252,2000-01-01,2020-12-01,252,True
6,Algeria,252,252,2000-01-01,2020-12-01,252,True
7,Andorra,252,252,2000-01-01,2020-12-01,252,True
8,Angola,252,252,2000-01-01,2020-12-01,252,True
10,Antigua and Barbuda,252,252,2000-01-01,2020-12-01,252,True
11,Argentina,252,252,2000-01-01,2020-12-01,252,True
12,Armenia,252,252,2000-01-01,2020-12-01,252,True
14,Australia,252,252,2000-01-01,2020-12-01,252,True
15,Austria,252,252,2000-01-01,2020-12-01,252,True
16,Azerbaijan,252,252,2000-01-01,2020-12-01,252,True
17,Bahamas,252,252,2000-01-01,2020-12-01,252,True
18,Bahrain,252,252,2000-01-01,2020-12-01,252,True
19,Bangladesh,252,252,2000-01-01,2020-12-01,252,True
20,Barbados,252,252,2000-01-01,2020-12-01,252,True
35,Belarus,252,252,2000-01-01,2020-12-01,252,True
21,Belgium,252,252,2000-01-01,2020-12-01,252,True
22,Belize,252,252,2000-01-01,2020-12-01,252,True
23,Benin,252,252,2000-01-01,2020-12-01,252,True
25,Bhutan,252,252,2000-01-01,2020-12-01,252,True
26,Bolivia,252,252,2000-01-01,2020-12-01,252,True
28,Bosnia-Herzegovina,252,252,2000-01-01,2020-12-01,252,True
29,Botswana,252,252,2000-01-01,2020-12-01,252,True
30,Brazil,252,252,2000-01-01,2020-12-01,252,True
31,Brunei,252,252,2000-01-01,2020-12-01,252,True
32,Bulgaria,252,252,2000-01-01,2020-12-01,252,True
33,Burkina Faso,252,252,2000-01-01,2020-12-01,252,True
34,Burundi,252,252,2000-01-01,2020-12-01,252,True
36,Cambodia,252,252,2000-01-01,2020-12-01,252,True
37,Cameroon,252,252,2000-01-01,2020-12-01,252,True
38,Canada,252,252,2000-01-01,2020-12-01,252,True
41,Central African Republic,252,252,2000-01-01,2020-12-01,252,True
42,Chad,252,252,2000-01-01,2020-12-01,252,True
43,Chile,252,252,2000-01-01,2020-12-01,252,True
44,China,252,252,2000-01-01,2020-12-01,252,True
45,Colombia,252,252,2000-01-01,2020-12-01,252,True
46,Comoros,252,252,2000-01-01,2020-12-01,252,True
