region,auc_roc,n_rows,positive_rate
Southeast Asia,0.9885869565217391,131,0.12213740458015267
Middle East & North Africa,0.9390804597701149,208,0.27884615384615385
Sub-Saharan Africa,0.8774617067833698,562,0.18683274021352314
Central America & Caribbean,0.8230162027420025,195,0.14871794871794872
Western Europe,0.7653883495145631,303,0.33993399339933994
Australasia & Oceania,0.7357142857142858,74,0.1891891891891892
Eastern Europe,0.728743961352657,406,0.11330049261083744
Central Asia,0.6632653061224489,163,0.09815950920245399
East Asia,0.6579545454545455,91,0.12087912087912088
South America,0.6398940864960282,147,0.29931972789115646
South Asia,0.5,27,0.7037037037037037
