region,region_txt,countries,country_months,attack_months,n_attacks_strict,n_attacks_all,fatalities_all,injuries_all,attack_month_share
6,South Asia,9,2268,1252,40295,46965,105570,135531,0.5520282186948854
10,Middle East & North Africa,23,5796,2055,39895,48856,129472,201229,0.35455486542443065
11,Sub-Saharan Africa,49,12348,2079,15337,19240,78617,45175,0.1683673469387755
5,Southeast Asia,11,2772,820,9147,11576,9750,19777,0.2958152958152958
8,Western Europe,23,5796,1076,3635,3891,1017,6202,0.18564527260179434
9,Eastern Europe,26,6552,560,2970,4195,5954,9909,0.08547008547008547
3,South America,14,3528,556,2970,3376,3698,5626,0.15759637188208617
1,North America,3,756,321,854,1036,3715,24346,0.4246031746031746
7,Central Asia,8,2016,148,214,245,287,469,0.07341269841269842
4,East Asia,7,1764,111,210,243,861,1296,0.06292517006802721
2,Central America & Caribbean,21,5292,73,115,131,122,167,0.01379440665154951
12,Australasia & Oceania,10,2520,68,108,118,74,103,0.026984126984126985
