topic,label,mean_before_onset,mean_no_onset,difference,standardized_difference,positive_rows,negative_rows
stock_topic_2,Topic 2: conflict discourse,0.0490515590603088,0.03375297324108291,0.015298585819225892,0.5197522721479829,3013,11453
stock_topic_11,Topic 11: conflict discourse,0.040192103885748134,0.031983195380835494,0.00820890850491264,0.22384500628567333,3013,11453
stock_topic_6,Topic 6: geopolitical tension,0.11556352130929452,0.10548704868930546,0.010076472619989063,0.22146725598294195,3013,11453
stock_topic_8,Topic 8: Middle East instability,0.02734598931752295,0.020412434453953205,0.006933554863569745,0.20784733361688182,3013,11453
stock_topic_7,topic 7,0.10349798718350846,0.09546607728589913,0.008031909897609324,0.17394176051613075,3013,11453
stock_topic_12,topic 12,0.1366925727206622,0.13368602522191875,0.0030065474987434615,0.04110901084979447,3013,11453
stock_topic_0,topic 0,0.05279234259965832,0.05427383323421916,-0.0014814906345608364,-0.02236261375695743,3013,11453
stock_topic_3,topic 3,0.06936659686668967,0.07174256258762006,-0.0023759657209303925,-0.04785469359362069,3013,11453
stock_topic_14,topic 14,0.11924926143550525,0.12457897887482963,-0.00532971743932438,-0.06277594468845922,3013,11453
stock_topic_10,topic 10,0.06862257573766908,0.07254852904138503,-0.003925953303715951,-0.08000689810205705,3013,11453
stock_topic_1,topic 1,0.053022650594359365,0.05846011334013752,-0.0054374627457781585,-0.13756660555753425,3013,11453
stock_topic_4,topic 4,0.025199090785528296,0.028743378929886043,-0.0035442881443577476,-0.15314585463137204,3013,11453
stock_topic_9,topic 9,0.01639009177247178,0.021444007952463814,-0.005053916179992034,-0.1963406975571706,3013,11453
stock_topic_5,topic 5,0.046301562985136345,0.053931526549138825,-0.00762996356400248,-0.23539188148739873,3013,11453
stock_topic_13,topic 13,0.07671209376939386,0.09348931507250717,-0.016777221303113307,-0.2964919788832177,3013,11453
