year,n_attacks_strict,n_attacks_all,active_country_months,incidence_next_month,onset_next_3months,hard_onset_next_3months,fatalities_all,injuries_all
2000,1461,1823,398,400,352,0,4394,5797
2001,1689,1912,379,363,281,0,7729,28187
2002,1150,1330,299,308,297,0,4797,7081
2003,1092,1280,290,275,217,0,3317,7384
2004,980,1164,234,242,179,1,5716,11976
2005,1634,2017,292,299,219,11,6343,12961
2006,2375,2757,291,281,214,11,9316,15470
2007,2844,3250,320,329,264,44,12825,22531
2008,4343,4801,421,423,316,44,9244,19168
2009,4564,4723,382,375,253,11,9277,19147
2010,4634,4827,347,348,249,9,7829,15953
2011,4662,5075,341,352,263,21,8246,14662
2012,6972,8525,451,460,312,13,15498,25451
2013,10034,12047,516,516,296,26,22279,37694
2014,13547,16960,577,575,278,23,44648,41143
2015,12385,15138,615,616,277,16,38993,44204
2016,11526,14051,628,631,321,22,35239,40576
2017,8994,11364,635,632,294,26,26897,25594
2018,7771,9853,609,609,310,10,23291,20609
2019,6769,8537,541,538,276,6,20412,18776
2020,6324,8438,553,508,233,14,22847,15466
