country,iso3,n_years_default_panel,n_years_joint_panel,gdp_growth_missing,gdp_growth_share_missing,inflation_missing,inflation_share_missing,current_account_gdp_missing,current_account_gdp_share_missing,external_debt_gni_missing,external_debt_gni_share_missing,debt_service_exports_missing,debt_service_exports_share_missing,reserves_usd_missing,reserves_usd_share_missing,exchange_rate_missing,exchange_rate_share_missing,gdp_current_usd_missing,gdp_current_usd_share_missing,central_gov_debt_gdp_missing,central_gov_debt_gdp_share_missing,total_missing_macro_values,share_all_macro_cells_missing
Anguila,AIA,64,64,64,1.0,64,1.0,64,1.0,64,1.0,64,1.0,64,1.0,64,1.0,64,1.0,64,1.0,576,1.0
Cook Islands,COK,64,64,64,1.0,64,1.0,64,1.0,64,1.0,64,1.0,64,1.0,64,1.0,64,1.0,64,1.0,576,1.0
"Korea, Democratic People's Republic of (North)",PRK,64,64,64,1.0,64,1.0,64,1.0,64,1.0,64,1.0,64,1.0,64,1.0,64,1.0,64,1.0,576,1.0
Netherlands Antilles,ANT,64,64,64,1.0,64,1.0,64,1.0,64,1.0,64,1.0,64,1.0,64,1.0,64,1.0,64,1.0,576,1.0
Yugoslavia,YUG,64,64,64,1.0,64,1.0,64,1.0,64,1.0,64,1.0,64,1.0,64,1.0,64,1.0,64,1.0,576,1.0
South Sudan,SSD,64,64,57,0.890625,49,0.765625,54,0.84375,64,1.0,64,1.0,52,0.8125,51,0.796875,56,0.875,64,1.0,511,0.8871527777777778
Sint Maarten,SXM,64,64,50,0.78125,52,0.8125,51,0.796875,64,1.0,64,1.0,64,1.0,51,0.796875,49,0.765625,64,1.0,509,0.8836805555555556
Curaçao,CUW,64,64,41,0.640625,45,0.703125,51,0.796875,64,1.0,64,1.0,64,1.0,51,0.796875,40,0.625,64,1.0,484,0.8402777777777778
Cuba,CUB,64,64,11,0.171875,64,1.0,64,1.0,64,1.0,64,1.0,63,0.984375,49,0.765625,13,0.203125,64,1.0,456,0.7916666666666666
Turkmenistan,TKM,64,64,28,0.4375,64,1.0,64,1.0,33,0.515625,62,0.96875,57,0.890625,56,0.875,27,0.421875,64,1.0,455,0.7899305555555556
Tuvalu,TUV,64,64,11,0.171875,63,0.984375,42,0.65625,64,1.0,64,1.0,64,1.0,64,1.0,10,0.15625,64,1.0,446,0.7743055555555556
West Bank & Gaza,PSE,64,64,35,0.546875,37,0.578125,35,0.546875,64,1.0,64,1.0,46,0.71875,64,1.0,34,0.53125,64,1.0,443,0.7690972222222222
Kosovo,XKX,64,64,49,0.765625,43,0.671875,48,0.75,48,0.75,44,0.6875,40,0.625,42,0.65625,48,0.75,64,1.0,426,0.7395833333333334
Eritrea,ERI,64,64,45,0.703125,64,1.0,55,0.859375,46,0.71875,59,0.921875,39,0.609375,0,0.0,44,0.6875,64,1.0,416,0.7222222222222222
Montenegro,MNE,64,64,38,0.59375,46,0.71875,47,0.734375,46,0.71875,47,0.734375,47,0.734375,39,0.609375,37,0.578125,64,1.0,411,0.7135416666666666
Palau,PLW,64,64,11,0.171875,42,0.65625,45,0.703125,64,1.0,64,1.0,64,1.0,45,0.703125,10,0.15625,52,0.8125,397,0.6892361111111112
Uzbekistan,UZB,64,64,28,0.4375,51,0.796875,45,0.703125,32,0.5,45,0.703125,52,0.8125,47,0.734375,27,0.421875,64,1.0,391,0.6788194444444444
Latvia,LVA,64,64,31,0.484375,32,0.5,35,0.546875,64,1.0,64,1.0,33,0.515625,32,0.5,35,0.546875,63,0.984375,389,0.6753472222222222
Lithuania,LTU,64,64,31,0.484375,32,0.5,35,0.546875,64,1.0,64,1.0,32,0.5,32,0.5,35,0.546875,64,1.0,389,0.6753472222222222
Nauru,NRU,64,64,11,0.171875,62,0.96875,48,0.75,64,1.0,64,1.0,64,1.0,0,0.0,10,0.15625,64,1.0,387,0.671875
Puerto Rico,PRI,64,64,1,0.015625,64,1.0,64,1.0,64,1.0,64,1.0,64,1.0,0,0.0,0,0.0,64,1.0,385,0.6684027777777778
Serbia,SRB,64,64,36,0.5625,35,0.546875,47,0.734375,37,0.578125,47,0.734375,46,0.71875,37,0.578125,35,0.546875,64,1.0,384,0.6666666666666666
Slovak Republic,SVK,64,64,31,0.484375,32,0.5,33,0.515625,64,1.0,64,1.0,33,0.515625,33,0.515625,30,0.46875,64,1.0,384,0.6666666666666666
Czechoslovakia,CZE,64,64,31,0.484375,32,0.5,33,0.515625,64,1.0,64,1.0,33,0.515625,33,0.515625,30,0.46875,62,0.96875,382,0.6631944444444444
Croatia,HRV,64,64,31,0.484375,26,0.40625,33,0.515625,64,1.0,64,1.0,32,0.5,32,0.5,30,0.46875,64,1.0,376,0.6527777777777778
Marshall Islands,MHL,64,64,11,0.171875,64,1.0,45,0.703125,64,1.0,64,1.0,64,1.0,0,0.0,10,0.15625,52,0.8125,374,0.6493055555555556
Slovenia,SVN,64,64,31,0.484375,21,0.328125,32,0.5,64,1.0,64,1.0,31,0.484375,31,0.484375,30,0.46875,62,0.96875,366,0.6354166666666666
Afghanistan,AFG,64,64,41,0.640625,45,0.703125,51,0.796875,46,0.71875,51,0.796875,19,0.296875,3,0.046875,40,0.625,64,1.0,360,0.625
Yemen,YEM,64,64,36,0.5625,40,0.625,52,0.8125,35,0.546875,37,0.578125,31,0.484375,30,0.46875,35,0.546875,64,1.0,360,0.625
Aruba,ABW,64,64,27,0.421875,29,0.453125,26,0.40625,64,1.0,64,1.0,26,0.40625,26,0.40625,26,0.40625,64,1.0,352,0.6111111111111112
Tajikistan,TJK,64,64,26,0.40625,48,0.75,42,0.65625,32,0.5,42,0.65625,37,0.578125,32,0.5,30,0.46875,62,0.96875,351,0.609375
Bosnia & Herzegovina,BIH,64,64,31,0.484375,46,0.71875,38,0.59375,39,0.609375,39,0.609375,37,0.578125,37,0.578125,30,0.46875,52,0.8125,349,0.6059027777777778
Micronesia,FSM,64,64,11,0.171875,41,0.640625,58,0.90625,64,1.0,64,1.0,37,0.578125,0,0.0,10,0.15625,51,0.796875,336,0.5833333333333334
Namibia,NAM,64,64,21,0.328125,43,0.671875,30,0.46875,64,1.0,64,1.0,32,0.5,2,0.03125,20,0.3125,56,0.875,332,0.5763888888888888
North Macedonia,MKD,64,64,31,0.484375,34,0.53125,36,0.5625,33,0.515625,36,0.5625,33,0.515625,34,0.53125,30,0.46875,64,1.0,331,0.5746527777777778
Azerbaijan,AZE,64,64,31,0.484375,32,0.5,35,0.546875,33,0.515625,35,0.546875,33,0.515625,32,0.5,30,0.46875,61,0.953125,322,0.5590277777777778
Romania,ROU,64,64,31,0.484375,31,0.484375,27,0.421875,64,1.0,64,1.0,13,0.203125,0,0.0,27,0.421875,64,1.0,321,0.5572916666666666
Equatorial Guinea,GNQ,64,64,21,0.328125,26,0.40625,54,0.84375,64,1.0,64,1.0,22,0.34375,0,0.0,4,0.0625,64,1.0,319,0.5538194444444444
Armenia,ARM,64,64,31,0.484375,34,0.53125,33,0.515625,33,0.515625,33,0.515625,32,0.5,33,0.515625,30,0.46875,59,0.921875,318,0.5520833333333334
Kazakhstan,KAZ,64,64,31,0.484375,34,0.53125,35,0.546875,33,0.515625,35,0.546875,33,0.515625,34,0.53125,30,0.46875,50,0.78125,315,0.546875
Poland,POL,64,64,31,0.484375,11,0.171875,30,0.46875,64,1.0,64,1.0,22,0.34375,0,0.0,30,0.46875,63,0.984375,315,0.546875
Kyrgyz Republic,KGZ,64,64,27,0.421875,36,0.5625,34,0.53125,32,0.5,33,0.515625,33,0.515625,34,0.53125,30,0.46875,54,0.84375,313,0.5434027777777778
Vietnam,VNM,64,64,25,0.390625,36,0.5625,36,0.5625,29,0.453125,36,0.5625,35,0.546875,25,0.390625,25,0.390625,64,1.0,311,0.5399305555555556
Ukraine,UKR,64,64,28,0.4375,33,0.515625,34,0.53125,32,0.5,34,0.53125,32,0.5,33,0.515625,27,0.421875,49,0.765625,302,0.5243055555555556
Somalia,SOM,64,64,1,0.015625,64,1.0,64,1.0,10,0.15625,40,0.625,34,0.53125,25,0.390625,0,0.0,62,0.96875,300,0.5208333333333334
USSR/Russian Federation,RUS,64,64,30,0.46875,33,0.515625,34,0.53125,33,0.515625,34,0.53125,33,0.515625,35,0.546875,28,0.4375,40,0.625,300,0.5208333333333334
Belarus,BLR,64,64,31,0.484375,33,0.515625,33,0.515625,33,0.515625,33,0.515625,34,0.53125,34,0.53125,30,0.46875,38,0.59375,299,0.5190972222222222
Antigua and Barbuda,ATG,64,64,18,0.28125,39,0.609375,17,0.265625,64,1.0,64,1.0,15,0.234375,0,0.0,17,0.265625,64,1.0,298,0.5173611111111112
