year,number_countries_in_panel,number_countries_with_default_data,gdp_growth_nonmissing,gdp_growth_share_missing,inflation_nonmissing,inflation_share_missing,current_account_gdp_nonmissing,current_account_gdp_share_missing,external_debt_gni_nonmissing,external_debt_gni_share_missing,debt_service_exports_nonmissing,debt_service_exports_share_missing,reserves_usd_nonmissing,reserves_usd_share_missing,exchange_rate_nonmissing,exchange_rate_share_missing,gdp_current_usd_nonmissing,gdp_current_usd_share_missing,central_gov_debt_gdp_nonmissing,central_gov_debt_gdp_share_missing,total_missing_macro_values,share_all_macro_cells_missing
1960,166,81,0,1.0,41,0.7530120481927711,1,0.9939759036144579,0,1.0,0,1.0,63,0.6204819277108433,122,0.2650602409638554,85,0.4879518072289156,0,1.0,1182,0.7911646586345381
1961,166,85,82,0.5060240963855422,42,0.7469879518072289,1,0.9939759036144579,0,1.0,0,1.0,62,0.6265060240963856,122,0.2650602409638554,87,0.47590361445783136,0,1.0,1098,0.7349397590361446
1962,166,92,86,0.4819277108433735,44,0.7349397590361446,1,0.9939759036144579,0,1.0,0,1.0,65,0.608433734939759,123,0.25903614457831325,88,0.4698795180722891,0,1.0,1087,0.7275769745649264
1963,166,93,86,0.4819277108433735,44,0.7349397590361446,1,0.9939759036144579,0,1.0,0,1.0,65,0.608433734939759,124,0.2530120481927711,88,0.4698795180722891,0,1.0,1086,0.7269076305220884
1964,166,94,86,0.4819277108433735,48,0.7108433734939759,1,0.9939759036144579,0,1.0,0,1.0,69,0.5843373493975903,124,0.2530120481927711,88,0.4698795180722891,0,1.0,1078,0.7215528781793842
1965,166,97,86,0.4819277108433735,52,0.6867469879518072,1,0.9939759036144579,0,1.0,0,1.0,73,0.5602409638554218,124,0.2530120481927711,90,0.45783132530120485,0,1.0,1068,0.714859437751004
1966,166,101,87,0.47590361445783136,57,0.6566265060240963,1,0.9939759036144579,0,1.0,0,1.0,77,0.536144578313253,124,0.2530120481927711,91,0.4518072289156626,0,1.0,1057,0.7074966532797858
1967,166,102,90,0.45783132530120485,62,0.6265060240963856,2,0.9879518072289156,0,1.0,0,1.0,77,0.536144578313253,125,0.24698795180722888,94,0.4337349397590361,0,1.0,1044,0.6987951807228916
1968,166,106,91,0.4518072289156626,63,0.6204819277108433,4,0.9759036144578314,0,1.0,0,1.0,78,0.5301204819277108,126,0.24096385542168675,95,0.42771084337349397,0,1.0,1037,0.6941097724230254
1969,166,107,91,0.4518072289156626,64,0.6144578313253012,4,0.9759036144578314,0,1.0,0,1.0,78,0.5301204819277108,126,0.24096385542168675,95,0.42771084337349397,0,1.0,1036,0.6934404283801874
1970,166,109,91,0.4518072289156626,67,0.5963855421686747,6,0.963855421686747,68,0.5903614457831325,2,0.9879518072289156,79,0.5240963855421688,126,0.24096385542168675,106,0.3614457831325302,0,1.0,949,0.6352074966532798
1971,166,110,104,0.37349397590361444,70,0.5783132530120482,7,0.9578313253012049,68,0.5903614457831325,3,0.9819277108433735,79,0.5240963855421688,127,0.2349397590361446,107,0.35542168674698793,0,1.0,929,0.6218206157965194
1972,166,110,104,0.37349397590361444,72,0.5662650602409638,8,0.9518072289156626,68,0.5903614457831325,4,0.9759036144578314,80,0.5180722891566265,127,0.2349397590361446,107,0.35542168674698793,0,1.0,924,0.6184738955823293
1973,166,110,104,0.37349397590361444,73,0.5602409638554218,8,0.9518072289156626,69,0.5843373493975903,4,0.9759036144578314,83,0.5,127,0.2349397590361446,107,0.35542168674698793,0,1.0,919,0.6151271753681392
1974,166,112,104,0.37349397590361444,74,0.5542168674698795,18,0.891566265060241,69,0.5843373493975903,13,0.9216867469879518,85,0.4879518072289156,126,0.24096385542168675,107,0.35542168674698793,0,1.0,898,0.6010709504685409
1975,166,118,104,0.37349397590361444,76,0.5421686746987953,35,0.7891566265060241,68,0.5903614457831325,26,0.8433734939759037,88,0.4698795180722891,124,0.2530120481927711,110,0.3373493975903614,0,1.0,863,0.5776439089692101
1976,166,119,106,0.3614457831325302,77,0.536144578313253,53,0.6807228915662651,69,0.5843373493975903,40,0.7590361445783133,93,0.43975903614457834,124,0.2530120481927711,110,0.3373493975903614,0,1.0,822,0.5502008032128514
1977,166,121,107,0.35542168674698793,79,0.5240963855421688,76,0.5421686746987953,71,0.572289156626506,60,0.6385542168674698,96,0.42168674698795183,124,0.2530120481927711,113,0.3192771084337349,0,1.0,768,0.5140562248995983
1978,166,123,112,0.32530120481927716,79,0.5240963855421688,83,0.5,73,0.5602409638554218,67,0.5963855421686747,96,0.42168674698795183,124,0.2530120481927711,112,0.32530120481927716,0,1.0,748,0.500669344042838
